update,mean_reward,success_rate,mean_episode_length,river_fall_rate,policy_loss,value_loss,entropy,maze_size
152,83.72303771972656,0.0,83.63,0.0,0.001203963765874505,207.47786331176758,0.8791780322790146,10
153,85.22502899169922,0.0,84.13,0.0,-0.001267868501599878,188.42404747009277,0.877271018922329,10
154,84.5520248413086,0.0,82.89,0.0,-0.0021995159331709146,184.05386924743652,0.8682155981659889,10
155,84.1540298461914,0.0,82.43,0.0,0.0018389527685940266,191.58948707580566,0.8611192852258682,10
156,79.5260238647461,0.0,81.1,0.0,-0.0021459634881466627,202.8594512939453,0.8916781470179558,10
157,81.780029296875,0.0,81.23,0.0,-0.0010514892637729645,201.33334350585938,0.8990903496742249,10
158,82.66304016113281,0.0,81.24,0.0,0.0005243351915851235,178.4260425567627,0.9081641882658005,10
159,85.13804626464844,0.0,81.6,0.0,0.0029059541411697865,188.20183944702148,0.8841957747936249,10
160,85.9980239868164,0.0,81.54,0.0,-0.002014475641772151,178.27357482910156,0.8591959699988365,10
161,88.79102325439453,0.0,81.97,0.0,-0.0015931644011288881,175.2614917755127,0.8232412114739418,10
162,86.76402282714844,0.0,81.58,0.0,-0.004169517196714878,239.64328384399414,0.8131001442670822,10
163,90.49502563476562,0.0,82.22,0.0,-0.0039041016716510057,170.4118709564209,0.812025211751461,10
164,91.0400390625,0.0,82.63,0.0,-0.0032786817755550146,173.99334335327148,0.7723524644970894,10
165,92.14802551269531,0.0,83.6,0.0,-0.0007183768320828676,168.2984848022461,0.7562844231724739,10
166,93.2170181274414,0.0,84.01,0.0,-0.00413728691637516,208.08786010742188,0.7548093423247337,10
167,94.90101623535156,0.0,83.86,0.0,-0.002683549653738737,201.7237319946289,0.7671578526496887,10
168,95.22502136230469,0.0,83.37,0.0,-0.0024698565248399973,180.692289352417,0.7655737102031708,10
169,93.55601501464844,0.0,82.09,0.0,4.1241059079766273e-05,217.85462379455566,0.7605480179190636,10
170,90.1200180053711,0.0,82.42,0.0,-0.0064260889776051044,253.84554862976074,0.7589927762746811,10
171,89.57002258300781,0.0,81.31,0.0,-0.00138446205528453,201.64410781860352,0.7584899365901947,10
172,88.63501739501953,0.0,81.48,0.0,-0.003771750954911113,178.3810214996338,0.7501332387328148,10
173,87.95001983642578,0.0,81.47,0.0,-0.0009577303426340222,152.05545139312744,0.7513568624854088,10
174,88.93301391601562,0.0,81.85,0.0,-0.0034717274829745293,182.16296768188477,0.7305829003453255,10
175,92.03501892089844,0.0,81.72,0.0,-0.002920394530519843,167.3079013824463,0.7329252362251282,10
176,90.43102264404297,0.0,82.22,0.0,0.000751142855733633,174.10846519470215,0.7193919196724892,10
177,90.61202239990234,0.0,82.51,0.0,-0.004218244692310691,171.39680290222168,0.7187171429395676,10
178,90.47603607177734,0.0,83.48,0.0,-0.002241527196019888,155.9419403076172,0.718893751502037,10
179,92.99002075195312,0.0,83.89,0.0,7.767695933580399e-05,167.92177391052246,0.7255171090364456,10
180,95.50801849365234,0.0,83.85,0.0,-0.004640602157451212,160.22839546203613,0.7174629047513008,10
181,100.94701385498047,0.0,84.26,0.0,-0.0021847920725122094,180.70484161376953,0.7126109600067139,10
182,100.42801666259766,0.0,83.08,0.0,0.0012134264688938856,156.68170547485352,0.707744762301445,10
183,102.29199981689453,0.0,82.59,0.0,-0.0032080882228910923,174.0183448791504,0.7096760720014572,10
184,96.4360122680664,0.0,81.29,0.0,-0.0006918373983353376,222.5957260131836,0.7080702111124992,10
185,94.12101745605469,0.0,81.66,0.0,-0.008235788729507476,207.72364044189453,0.7104122936725616,10
186,88.06902313232422,0.0,80.51,0.0,-0.003035641449969262,253.90042686462402,0.7110075205564499,10
187,89.74002075195312,0.0,80.72,0.0,0.0009899642318487167,164.93241119384766,0.7069984972476959,10
188,87.81201934814453,0.0,80.69,0.0,-0.004971324931830168,193.2047939300537,0.7054604589939117,10
189,88.88803100585938,0.0,81.09,0.0,-0.0011133295483887196,180.0140495300293,0.7064519822597504,10
190,91.3910140991211,0.0,81.71,0.0,0.001469749491661787,163.37166023254395,0.7057839408516884,10
191,93.5400161743164,0.0,82.47,0.0,-0.002849755808711052,156.2350616455078,0.7040839865803719,10
192,93.1860122680664,0.0,82.76,0.0,0.03763972799060866,176.1197738647461,0.6528947576880455,10
193,90.95403289794922,0.0,83.73,0.0,-0.0032647503539919853,164.66334342956543,0.709062322974205,10
194,91.97303009033203,0.0,84.14,0.0,0.008944376779254526,203.89648246765137,0.6873774901032448,10
195,92.94902038574219,0.0,83.06,0.0,0.006846409756690264,164.82779026031494,0.7091019824147224,10
196,95.49703216552734,0.0,83.5,0.0,-0.002341034123674035,189.5795135498047,0.7214383184909821,10
197,93.82701873779297,0.0,82.28,0.0,-0.004483335535041988,183.32928276062012,0.7233044877648354,10
198,96.47000885009766,0.0,81.81,0.0,-0.0029918523505330086,149.2725315093994,0.7212362959980965,10
199,93.93101501464844,0.0,80.49,0.0,-0.001131348020862788,190.7711944580078,0.7228376418352127,10
200,103.36499786376953,0.0,93.75,0.0,-0.0048328490811400115,571.4031085968018,0.6977841407060623,15
201,106.97998046875,0.0,101.27,0.0,0.0013359000440686941,222.37224006652832,0.7044401988387108,15
202,113.70199584960938,0.0,110.22,0.0,-0.0015691118314862251,247.7402458190918,0.7092265337705612,15
203,115.46498107910156,0.0,113.74,0.0,-4.47654165327549e-05,261.5110969543457,0.7044225707650185,15
204,114.04498291015625,0.0,114.06,0.0,-0.001766581553965807,267.7679195404053,0.7036171704530716,15
205,115.40796661376953,0.0,115.88,0.0,-0.00015886034816503525,254.3877296447754,0.7239537090063095,15
206,109.03296661376953,0.0,111.4,0.0,-0.0025533027946949005,465.4416084289551,0.7311688363552094,15
207,115.72792053222656,0.0,118.7,0.0,0.0031604882096871734,436.73775482177734,0.7256979793310165,15
208,124.4249038696289,0.0,127.5,0.0,-0.00027191638946533203,262.58437728881836,0.7224540710449219,15
209,136.97386169433594,0.0,138.36,0.0,0.0002148449420928955,240.20684432983398,0.7363501563668251,15
210,140.51084899902344,0.0,142.36,0.0,0.0006979274330660701,301.82399559020996,0.7421568930149078,15
211,141.1278533935547,0.0,139.0,0.0,-0.001743427012115717,282.05135917663574,0.7424525395035744,15
212,132.7898712158203,0.0,129.48,0.0,-0.0001806207001209259,340.0893898010254,0.7387538999319077,15
213,122.87690734863281,0.0,119.96,0.0,-0.0009297613287344575,285.14152336120605,0.7403878048062325,15
214,111.5339126586914,0.0,110.44,0.0,-0.0036252224817872047,286.98976707458496,0.7361154183745384,15
215,114.64086151123047,0.0,111.8,0.0,-0.0018521025776863098,391.69287872314453,0.7313259914517403,15
216,128.5048370361328,0.0,122.76,0.0,-0.0012884910684078932,413.4994239807129,0.7345606163144112,15
217,140.08880615234375,0.0,133.72,0.0,-0.001953335478901863,480.84882164001465,0.738728441298008,15
218,142.43780517578125,0.0,135.04,0.0,0.0013798079453408718,326.12976837158203,0.7301144227385521,15
219,131.93084716796875,0.0,126.12,0.0,-0.00720854481915012,344.8610534667969,0.7399237975478172,15
220,121.48286437988281,0.0,116.6,0.0,-0.0010167108848690987,329.7797317504883,0.7364468276500702,15
221,109.64488220214844,0.0,107.08,0.0,-0.004799979389645159,395.47058296203613,0.7438485994935036,15
222,109.74987030029297,0.0,107.16,0.0,0.00020385743118822575,427.10644912719727,0.7559821009635925,15
223,120.923828125,0.0,118.12,0.0,-0.0003463724860921502,344.2467384338379,0.7610802799463272,15
224,130.7628173828125,0.0,129.08,0.0,-0.0037699490785598755,299.8372230529785,0.7726391851902008,15
225,143.5867919921875,0.0,140.04,0.0,-0.000607033318374306,378.38827896118164,0.7542899996042252,15
226,145.60684204101562,0.0,140.8,0.0,-0.00030821142718195915,301.02403450012207,0.742942251265049,15
227,131.43585205078125,0.0,131.32,0.0,-0.005894141271710396,319.17114639282227,0.7643374428153038,15
228,120.18289947509766,0.0,121.8,0.0,0.0003367993049323559,320.0503101348877,0.7508174628019333,15
229,109.48991394042969,0.0,112.28,0.0,-0.0012939549051225185,330.25537109375,0.7753183618187904,15
230,109.7028579711914,0.0,113.48,0.0,-0.002026122994720936,446.2948532104492,0.7880022525787354,15
231,121.22185516357422,0.0,124.44,0.0,0.0004042412620037794,357.37767791748047,0.7863408997654915,15
232,130.0408172607422,0.0,135.4,0.0,0.000967053696513176,576.9438247680664,0.7788437977433205,15
233,135.87681579589844,0.0,136.8,0.0,5.982862785458565e-05,292.349552154541,0.7682814821600914,15
234,126.04686737060547,0.0,127.96,0.0,5.506398156285286e-05,269.8768711090088,0.7695014476776123,15
235,114.89888000488281,0.0,118.44,0.0,-0.003689620236400515,247.1433048248291,0.7586712464690208,15
236,104.3208999633789,0.0,108.92,0.0,0.00043073343113064766,251.24590492248535,0.7752997130155563,15
237,105.98688507080078,0.0,108.84,0.0,-0.0005666483193635941,515.6706504821777,0.7893379703164101,15
238,121.23084259033203,0.0,119.8,0.0,-0.0027289879508316517,328.2901191711426,0.7834756746888161,15
